Touchdata_id,event_index,x,y,time,touchPhase,fingerId,color,completionPerc,zone,flags,quality_score,interaction_type,anomaly_flag,research_suitability,     ,     fingerId,     seqId,     startTime,     endTime,     durationSec,     nPoints,     flags
0,0,108.0,711.0,537.2317,Ended,1,Green,29.957808,Roof,orphaned_events,30,Erratic,Technical,Limited,,0,1,498.36725,498.46722412109375,0.0999755859375,4,
0,1,149.0,328.00003,566.2625,Ended,1,Violet,55.27426,Outside,orphaned_events,30,Erratic,Technical,Limited,,0,2,505.4336,505.5335998535156,0.100006103515625,4,
0,2,115.0,378.0,566.29584,Ended,2,RedDefault,55.6962,Outside,orphaned_events,30,Erratic,Technical,Limited,,0,3,506.5002,506.6001892089844,0.0999755859375,4,
0,3,1858.0,818.00006,603.6563,Ended,1,Red,62.869198,Wall,orphaned_events,30,Erratic,Technical,Limited,,0,4,507.00018,511.9332275390625,4.93304443359375,147,
1,0,1649.0,750.0,498.36725,Began,0,RedDefault,0.0,Outside,,100,Hesitant,Behavioral,Behavioral,,0,5,512.73315,520.9660034179688,8.23284912109375,246,
1,1,1649.0,750.0,498.40057,Stationary,0,RedDefault,0.0,Outside,,100,Hesitant,Behavioral,Behavioral,,0,6,521.99927,523.7991943359375,1.7999267578125,55,
1,2,1649.0,750.0,498.4339,Stationary,0,RedDefault,0.0,Outside,,100,Hesitant,Behavioral,Behavioral,,0,7,526.53235,530.2987670898438,3.76641845703125,112,
1,3,1649.0,750.0,498.46722,Ended,0,RedDefault,0.0,Outside,,100,Hesitant,Behavioral,Behavioral,,0,8,531.23206,531.265380859375,0.0333251953125,2,improper_sequence_order
2,0,258.0,665.0,505.4336,Began,0,RedDefault,0.0,Outside,,99,Hesitant,Behavioral,Behavioral,,0,9,531.6654,537.231689453125,5.5662841796875,168,
2,1,258.0,665.0,505.46695,Stationary,0,RedDefault,0.0,Outside,,99,Hesitant,Behavioral,Behavioral,,0,10,548.5644,548.8310546875,0.26666259765625,9,
2,2,258.0,665.0,505.50027,Stationary,0,RedDefault,0.0,Outside,,99,Hesitant,Behavioral,Behavioral,,0,11,549.26434,549.3976440429688,0.13330078125,3,
2,3,258.0,665.0,505.5336,Ended,0,Blue,0.0,Outside,,99,Hesitant,Behavioral,Behavioral,,0,12,549.69763,549.7976684570312,0.10003662109375,4,
3,0,1065.0,370.99997,506.5002,Began,0,Blue,0.0,Door,,100,Hesitant,Behavioral,Behavioral,,0,13,550.0976,550.2642822265625,0.16668701171875,6,
3,1,1065.0,370.99997,506.53354,Stationary,0,Blue,0.42194092,Door,,100,Hesitant,Behavioral,Behavioral,,0,14,550.4976,550.6975708007812,0.199951171875,7,
3,2,1065.0,370.99997,506.56686,Stationary,0,Blue,0.84388185,Door,,100,Hesitant,Behavioral,Behavioral,,0,15,551.0309,551.1642456054688,0.13336181640625,5,
3,3,1065.0,370.99997,506.6002,Ended,0,Blue,1.2658228,Door,,100,Hesitant,Behavioral,Behavioral,,0,16,551.46423,551.564208984375,0.0999755859375,4,
4,0,1081.0,379.00003,507.00018,Began,0,Blue,1.6877637,Door,,83,Quick,Behavioral,"Timing,Spatial",,0,17,551.93085,566.2625122070312,14.3316650390625,429,
4,1,1059.0,412.00003,507.0335,Moved,0,Blue,1.6877637,Door,,83,Quick,Behavioral,"Timing,Spatial",,0,18,567.82904,569.295654296875,1.46661376953125,45,
4,2,1043.0,463.00003,507.06683,Moved,0,Blue,2.1097047,Door,,83,Quick,Behavioral,"Timing,Spatial",,0,19,570.2288,570.3621826171875,0.13336181640625,5,
4,3,1038.0,521.0,507.10016,Moved,0,Blue,2.5316455,Bound,,83,Quick,Behavioral,"Timing,Spatial",,0,20,571.72876,573.128662109375,1.39990234375,43,
4,4,1039.0,560.0,507.1335,Moved,0,Blue,2.9535866,Wall,,83,Quick,Behavioral,"Timing,Spatial",,0,21,589.7238,589.7571411132812,0.0333251953125,2,improper_sequence_order
4,5,1055.0,575.0,507.16684,Moved,0,Blue,3.3755274,Wall,,83,Quick,Behavioral,"Timing,Spatial",,0,22,589.8571,590.1571044921875,0.29998779296875,10,
4,6,1076.0,575.0,507.20016,Moved,0,Blue,3.7974682,Wall,,83,Quick,Behavioral,"Timing,Spatial",,0,23,591.82367,594.9234619140625,3.09979248046875,94,
4,7,1095.0,540.0,507.2335,Moved,0,Blue,4.2194095,Wall,,83,Quick,Behavioral,"Timing,Spatial",,0,24,600.42316,603.6563110351562,3.233154296875,98,
