Touchdata_id,event_index,x,y,time,touchPhase,fingerId,color,completionPerc,zone,flags,quality_score,interaction_type,anomaly_flag,research_suitability,     ,     fingerId,     seqId,     startTime,     endTime,     durationSec,     nPoints,     flags,time_diff,time_diff_normalized,cumulative_time,time_acceleration,sequence_position,sequence_length,position_ratio,time_rhythm_consistency,x_diff,y_diff,distance,velocity,acceleration,direction_angle,direction_change,cumulative_distance,spatial_smoothness,bbox_width,bbox_height,bbox_area,phase_transition,completion_rate,completion_acceleration,zone_change,zone_stability,color_change,has_began,has_ended,has_canceled,sequence_valid_pattern,velocity_outlier,distance_outlier,time_gap_outlier
0,0,1053.0,127.00003,408.23874,Ended,0,RedDefault,14.345991,Bound,orphaned_events,32,Erratic,Technical,Limited,,0.0,0.0,408.23874,443.669677734375,35.430938720703125,4.0,,0.0,-0.4805229756370074,408.23874,0.0,0,7,0.0,0.09484641676060769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6409297890032173,995.0,1290.0,1283550.0,start_Ended,0.0,0.0,1,6,1,0,1,1,0,0,0,0
0,1,1651.0,33.0,411.43854,Ended,4,RedDefault,27.426159,Super outside,orphaned_events,32,Erratic,Technical,Limited,,0.0,1.0,398.37253,398.4391784667969,0.066650390625,3.0,,3.199799999999982,-0.17703341128641664,819.67728,3.199799999999982,1,7,0.14285714265306124,0.09484641676060769,598.0,-94.00003,605.3428827036797,189.18147409583986,189.18147409583986,-0.15591487692364406,-0.15591487692364406,605.3428827036797,0.6409297890032173,995.0,1290.0,1283550.0,Ended_to_Ended,13.080167999999999,13.080167999999999,1,6,0,0,1,1,0,0,0,0
0,2,2048.0,654.0,440.1699,Ended,0,Orange,86.91983,Outside,orphaned_events,32,Erratic,Technical,Limited,,0.0,2.0,398.70584,398.8059692382813,0.100128173828125,4.0,,28.731359999999995,2.244543569022045,1259.84718,25.531560000000013,2,7,0.2857142853061225,0.09484641676060769,397.0,621.0,737.0549504616328,25.653326198450042,-163.52814789738983,1.0019859468234114,1.1579008237470554,1342.3978331653125,0.6409297890032173,995.0,1290.0,1283550.0,Ended_to_Ended,59.493671000000006,46.413503000000006,1,6,1,0,1,1,0,0,0,0
0,3,1420.0,755.0,443.4697,Ended,0,Orange,91.13924,Roof,orphaned_events,32,Erratic,Technical,Limited,,0.0,3.0,407.60544,,,5.0,"missing_Ended,has_canceled",3.2998000000000047,-0.16754876961035373,1703.3168799999999,-25.43155999999999,3,7,0.4285714279591837,0.09484641676060769,-628.0,101.0,636.0699647051415,192.76015600264836,167.10682980419833,2.9821301387223094,1.980144191898898,1978.467797870454,0.6409297890032173,995.0,1290.0,1283550.0,Ended_to_Ended,4.219409999999996,-55.27426100000001,1,6,0,0,1,1,0,0,0,0
0,4,1246.0,912.0,443.50302,Ended,2,Orange,91.56118,Outside,orphaned_events,32,Erratic,Technical,Limited,,0.0,4.0,408.83868,409.1053466796875,0.26666259765625,7.0,,0.03332000000000335,-0.47736269303054363,2146.8199,-3.2664800000000014,4,7,0.571428570612245,0.09484641676060769,-174.0,157.0,234.3608329051593,7033.6363315958115,6840.876175593163,2.407508919435987,-0.5746212192863225,2212.8286307756134,0.6409297890032173,995.0,1290.0,1283550.0,Ended_to_Ended,0.4219399999999922,-3.797470000000004,1,6,0,0,1,1,0,0,0,0
0,5,1320.0,397.99997,443.66968,Ended,0,Orange,92.40506,Wall,orphaned_events,32,Erratic,Technical,Limited,,0.0,5.0,409.60532,410.1052856445313,0.499969482421875,16.0,,0.16666000000003578,-0.46471587181968116,2590.48958,0.13334000000003243,5,7,0.7142857132653061,0.09484641676060769,74.0,-514.0000299999999,519.2995579046845,3115.9217973440245,-3917.714534251787,-1.4278099562350928,-3.8353188756710797,2732.128188680298,0.6409297890032173,995.0,1290.0,1283550.0,Ended_to_Ended,0.8438800000000128,0.42194000000002063,1,6,0,0,1,1,0,0,0,0
0,6,1114.0,1323.0,443.70303,Canceled,4,Orange,92.40506,Wall,orphaned_events,32,Erratic,Technical,Limited,,0.0,6.0,410.47192,411.43853759765625,0.96661376953125,30.0,,0.03334999999998445,-0.4773598476380426,3034.19261,-0.13331000000005133,6,7,0.8571428559183674,0.09484641676060769,-206.0,925.0000299999999,947.6608335791876,28415.608678367098,25299.686881023074,1.78992308880675,3.217733045041843,3679.7890222594856,0.6409297890032173,995.0,1290.0,1283550.0,Ended_to_Canceled,0.0,-0.8438800000000128,0,6,0,0,1,1,0,0,0,0
1,0,800.0,186.0,398.37253,Began,0,RedDefault,0.0,Wall,,83,Erratic,Behavioral,Behavioral,,0.0,7.0,411.77185,411.8052062988281,0.033355712890625,2.0,improper_sequence_order,0.0,-1.154699899238932,398.37253,0.0,0,3,0.0,51.97448908799409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5280354521426984,57.0,40.99996999999999,2336.9982899999995,start_Began,0.0,0.0,1,1,1,1,1,0,1,0,0,0
1,1,808.0,187.99997,398.40585,Moved,0,RedDefault,0.42194092,Wall,,83,Erratic,Behavioral,Behavioral,,0.0,8.0,411.90518,419.1380920410156,7.23291015625,216.0,,0.03332000000000335,0.5770900771732049,796.77838,0.03332000000000335,1,3,0.3333333322222222,51.97448908799409,8.0,1.9999699999999905,8.246203975217929,247.48503902661196,247.48503902661196,0.24497513371198415,0.24497513371198415,8.246203975217929,2.5280354521426984,57.0,40.99996999999999,2336.9982899999995,Began_to_Moved,0.42194092,0.42194092,0,1,0,1,1,0,1,0,0,0
1,2,857.0,147.0,398.43918,Ended,0,RedDefault,0.84388185,Wall,,83,Erratic,Behavioral,Behavioral,,0.0,9.0,419.20474,419.67138671875,0.466644287109375,15.0,,0.03333000000003494,0.5776098220657271,1195.21756,1.0000000031595846e-05,2,3,0.6666666644444444,51.97448908799409,49.0,-40.99996999999999,63.8905121281783,1916.9064794193375,1669.4214403927256,-0.6967419214123128,-0.941717055124297,72.13671610339622,2.5280354521426984,57.0,40.99996999999999,2336.9982899999995,Moved_to_Ended,0.42194093000000005,1.0000000050247593e-08,0,1,0,1,1,0,1,0,0,0
