Touchdata_id,event_index,x,y,time,touchPhase,fingerId,color,completionPerc,zone,flags,quality_score,interaction_type,anomaly_flag,research_suitability,     ,     fingerId,     seqId,     startTime,     endTime,     durationSec,     nPoints,     flags,time_diff,time_diff_normalized,cumulative_time,time_acceleration,sequence_position,sequence_length,position_ratio,time_rhythm_consistency,x_diff,y_diff,distance,velocity,acceleration,direction_angle,direction_change,cumulative_distance,spatial_smoothness,bbox_width,bbox_height,bbox_area,phase_transition,completion_rate,completion_acceleration,zone_change,zone_stability,color_change,has_began,has_ended,has_canceled,sequence_valid_pattern,velocity_outlier,distance_outlier,time_gap_outlier
0,0,2032.0,82.99997,5806.705,Ended,1,RedDefault,18.14346,Bound,orphaned_events,0,Unknown,Technical,Limited,,0.0,1.0,5800.906,5802.47216796875,1.56640625,48.0,,0.0,,5806.705,0.0,0,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,start_Ended,0.0,0.0,1,1,1,0,1,0,0,0,0,0
1,0,1151.0,524.0,5800.906,Began,0,RedDefault,0.0,Bound,,88,Quick,Behavioral,"Timing,Spatial",,0.0,2.0,5803.0386,5806.705078125,3.66650390625,111.0,,0.0,-6.773413947420775,5800.906,0.0,0,48,0.0,207.61422061062453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4366249301350007,318.0,240.0,76320.0,start_Began,0.0,0.0,1,2,1,1,1,0,1,0,0,0
1,1,1159.0,550.0,5800.939,Moved,0,RedDefault,0.42194092,Wall,,88,Quick,Behavioral,"Timing,Spatial",,0.0,3.0,5806.9385,5807.03857421875,0.10009765625,4.0,,0.03300000000035652,0.07785533280385293,11601.845000000001,0.03300000000035652,1,48,0.020833333328993054,207.61422061062453,8.0,26.0,27.202941017470888,824.3312961776979,824.3312961776979,1.2722973952087173,1.2722973952087173,27.202941017470888,1.4366249301350007,318.0,240.0,76320.0,Began_to_Moved,0.42194092,0.42194092,1,2,0,1,1,0,1,0,0,0
1,2,1194.0,586.0,5800.972,Moved,0,RedDefault,0.84388185,Wall,,88,Quick,Behavioral,"Timing,Spatial",,0.0,4.0,5809.4053,5811.705078125,2.2998046875,68.0,,0.03299999999944703,0.07785533261502889,17402.817,-9.094947017729282e-13,2,48,0.04166666665798611,207.61422061062453,35.0,36.0,50.20956084253277,1521.5013826775844,697.1700864998865,0.7994817392203085,-0.4728156559884088,77.41250186000366,1.4366249301350007,318.0,240.0,76320.0,Moved_to_Moved,0.42194093000000005,1.0000000050247593e-08,0,2,0,1,1,0,1,0,0,0
1,3,1261.0,631.0,5801.0054,Moved,0,RedDefault,1.2658228,Wall,,88,Quick,Behavioral,"Timing,Spatial",,0.0,5.0,5822.704,5824.9375,2.2333984375,68.0,,0.033400000000256114,0.16090102102725656,23203.8224,0.0004000000008090865,3,48,0.062499999986979166,207.61422061062453,67.0,45.0,80.7093550959243,2416.4470338573374,894.945651179753,0.5914390161375552,-0.2080427230827533,158.12185695592797,1.4366249301350007,318.0,240.0,76320.0,Moved_to_Moved,0.42194095,1.9999999933961732e-08,0,2,0,1,1,0,1,0,0,0
1,4,1312.0,654.0,5801.039,Moved,0,RedDefault,1.6877637,Wall,,88,Quick,Behavioral,"Timing,Spatial",,0.0,6.0,5830.537,5830.5703125,0.033203125,2.0,improper_sequence_order,0.03359999999975116,0.20242386504454635,29004.8614,0.00019999999949504854,4,48,0.08333333331597222,207.61422061062453,51.0,23.0,55.94640292279746,1665.0710200149283,-751.3760138424091,0.4236689218775161,-0.16777009426003914,214.06825987872543,1.4366249301350007,318.0,240.0,76320.0,Moved_to_Moved,0.42194090000000006,-4.9999999918171056e-08,0,2,0,1,1,0,1,0,0,0
1,5,1366.0,699.0,5801.0723,Moved,0,RedDefault,2.1097047,Wall,,88,Quick,Behavioral,"Timing,Spatial",,0.0,7.0,5834.6704,5838.103515625,3.43310546875,104.0,,0.03330000000005384,0.14013959892419964,34805.9337,-0.00029999999969732016,5,48,0.10416666664496528,207.61422061062453,54.0,45.0,70.2922470831599,2110.877656884975,445.80663687004653,0.6947382761967031,0.27106935431918705,284.36050696188533,1.4366249301350007,318.0,240.0,76320.0,Moved_to_Moved,0.4219409999999999,9.999999983634211e-08,0,2,0,1,1,0,1,0,0,0
1,6,1398.0,742.0,5801.1055,Moved,0,RedDefault,2.5316455,Wall,,88,Quick,Behavioral,"Timing,Spatial",,0.0,8.0,5838.5034,5853.83447265625,15.3310546875,457.0,,0.03319999999985157,0.11937817682114273,40607.0392,-0.00010000000020227162,6,48,0.12499999997395833,207.61422061062453,32.0,43.0,53.600373133029585,1614.4685839934752,-496.4090728914996,0.931026543968271,0.23628826777156786,337.9608800949149,1.4366249301350007,318.0,240.0,76320.0,Moved_to_Moved,0.4219408000000002,-1.9999999967268423e-07,0,2,0,1,1,0,1,0,0,0
1,7,1399.0,758.0,5801.139,Moved,0,RedDefault,2.9535866,Wall,,88,Quick,Behavioral,"Timing,Spatial",,0.0,9.0,5854.068,5863.3671875,9.29931640625,278.0,,0.033500000000458385,0.1816624431303135,46408.1782,0.00030000000060681487,7,48,0.1458333333029514,207.61422061062453,1.0,16.0,16.0312195418814,478.5437240664119,-1135.9248599270634,1.5083775167989393,0.5773509728306683,353.9920996367963,1.4366249301350007,318.0,240.0,76320.0,Moved_to_Moved,0.42194109999999974,2.9999999950902634e-07,0,2,0,1,1,0,1,0,0,0
1,8,1375.0,763.0,5801.1724,Moved,0,RedDefault,3.3755274,Wall,,88,Quick,Behavioral,"Timing,Spatial",,0.0,10.0,5863.7007,5864.6005859375,0.89990234375,28.0,,0.033400000000256114,0.16090102102725656,52209.3506,-0.00010000000020227162,8,48,0.16666666663194443,207.61422061062453,-24.0,5.0,24.515301344262525,733.9908384480884,255.4471143816765,2.936197264400026,1.4278197476010865,378.5074009810588,1.4366249301350007,318.0,240.0,76320.0,Moved_to_Moved,0.4219408000000002,-2.9999999950902634e-07,0,2,0,1,1,0,1,0,0,0
1,9,1351.0,764.0,5801.2056,Moved,0,RedDefault,3.7974682,Wall,,88,Quick,Behavioral,"Timing,Spatial",,0.0,11.0,5867.0337,,,4.0,missing_Ended,0.03319999999985157,0.11937817682114273,58010.5562,-0.00020000000040454324,9,48,0.1874999999609375,207.61422061062453,-24.0,1.0,24.020824298928627,723.5185862605468,-10.472252187541585,3.099950074491205,0.16375281009117915,402.52822527998745,1.4366249301350007,318.0,240.0,76320.0,Moved_to_Moved,0.4219407999999998,-4.440892098500626e-16,0,2,0,1,1,0,1,0,0,0
1,10,1310.0,764.0,5801.239,Moved,0,RedDefault,4.2194095,Wall,,88,Quick,Behavioral,"Timing,Spatial",,1.0,0.0,5806.705,5806.705078125,0.0,1.0,,0.03339999999934662,0.16090102083843252,63811.7952,0.00019999999949504854,10,48,0.20833333328993056,207.61422061062453,-41.0,0.0,41.0,1227.544542675348,504.02595641480127,3.141592653589793,0.04164257909858815,443.52822527998745,1.4366249301350007,318.0,240.0,76320.0,Moved_to_Moved,0.4219413000000003,5.000000005139782e-07,0,2,0,1,1,0,1,0,0,0
1,11,1250.0,742.0,5801.2725,Moved,0,RedDefault,4.6413503,Wall,,88,Quick,Behavioral,"Timing,Spatial",,1.0,1.0,5806.0386,,,2.0,"missing_Ended,too_few_points,has_canceled,improper_sequence_order",0.033500000000458385,0.1816624431303135,69613.0677,0.00010000000111176632,11,48,0.2291666666189236,207.61422061062453,-60.0,-22.0,63.90618123468183,1907.6466315624202,680.1020888870721,-2.7901478595862415,-5.931740513176035,507.43440651466926,1.4366249301350007,318.0,240.0,76320.0,Moved_to_Moved,0.4219407999999998,-5.000000005139782e-07,0,2,0,1,1,0,1,0,0,0
1,12,1202.0,716.0,5801.3057,Moved,0,RedDefault,5.063291,Wall,,88,Quick,Behavioral,"Timing,Spatial",,1.0,2.0,5830.537,5833.103515625,2.56640625,78.0,,0.03319999999985157,0.11937817682114273,75414.3734,-0.00030000000060681487,12,48,0.24999999994791666,207.61422061062453,-48.0,-26.0,54.589376255824725,1644.2578257075459,-263.38880585487436,-2.645169900184911,0.1449779594013303,562.023782770494,1.4366249301350007,318.0,240.0,76320.0,Moved_to_Moved,0.4219407000000004,-9.99999993922529e-08,0,2,0,1,1,0,1,0,0,0
